,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
0,I,0.008,1,0,1
1,I,0.011,2,0,2
2,C,6.045,2,1,3
3,I,6.065,3,1,4
4,I,6.132,4,1,5
5,I,6.177,5,1,6
6,I,6.188,6,1,7
7,I,6.198,7,1,8
8,I,6.218,8,1,9
9,C,12.43,8,2,10
10,I,12.502,9,2,11
11,C,18.644,9,3,12
12,I,18.717,10,3,13
13,C,24.809,10,4,14
14,I,24.832,11,4,15
15,I,24.86,12,4,16
16,C,30.87,12,5,17
17,I,30.896,13,5,18
18,I,30.971,14,5,19
19,I,31.026,15,5,20
20,I,31.108,16,5,21
21,I,31.148,17,5,22
22,C,37.256,17,6,23
23,C,49.444,17,7,24
24,I,55.623,18,7,25
25,C,61.972,18,8,26
26,I,62.028,19,8,27
27,I,62.081,20,8,28
28,I,62.107,21,8,29
29,I,62.389,22,8,30
30,C,68.549,22,9,31
31,I,74.654,23,9,32
32,I,74.813,24,9,33
33,I,74.897,25,9,34
34,C,80.943,25,10,35
35,I,80.955,26,10,36
36,I,80.957,27,10,37
37,C,86.987,27,11,38
38,C,93.261,27,12,39
39,I,93.269,28,12,40
40,C,105.546,28,13,41
41,I,124.39,29,13,42
42,C,130.638,29,14,43
43,I,148.931,30,14,44
44,C,155.258,30,15,45
45,C,179.765,30,16,46
46,I,179.774,31,16,47
47,I,192.246,32,16,48
48,C,198.278,32,17,49
49,I,198.285,33,17,50
50,I,253.185,34,17,51
51,I,253.22,35,17,52
52,C,259.379,35,18,53
53,I,265.426,36,18,54
54,I,320.928,37,18,55
55,C,326.935,37,19,56
56,I,326.945,38,19,57
57,I,327.398,39,19,58
58,C,334.15,39,20,59
59,I,334.157,40,20,60
60,I,352.919,41,20,61
61,C,359.072,41,21,62
62,C,365.075,41,22,63
63,I,365.083,42,22,64
64,I,371.313,43,22,65
65,C,377.658,43,23,66
