,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
0,I,4.483,1,0,1
1,C,12.294,1,1,2
2,I,16.72,2,1,3
3,I,21.157,3,1,4
4,I,25.601,4,1,5
5,I,57.115,5,1,6
6,I,61.711,6,1,7
7,I,66.235,7,1,8
8,I,70.784,8,1,9
9,C,96.846,8,2,10
10,C,104.713,8,3,11
11,C,112.723,8,4,12
12,C,120.651,8,5,13
13,I,242.973,9,5,14
14,C,251.025,9,6,15
15,I,255.479,10,6,16
16,I,259.959,11,6,17
17,I,264.477,12,6,18
18,I,268.953,13,6,19
19,I,278.016,14,6,20
20,I,282.606,15,6,21
21,I,287.159,16,6,22
22,I,291.657,17,6,23
23,I,336.459,18,6,24
24,I,340.967,19,6,25
25,I,345.384,20,6,26
26,I,349.779,21,6,27
27,I,354.246,22,6,28
28,I,358.712,23,6,29
29,I,363.136,24,6,30
30,I,367.553,25,6,31
31,I,371.999,26,6,32
32,I,376.5,27,6,33
33,I,381.048,28,6,34
34,I,403.245,29,6,35
35,I,407.888,30,6,36
36,I,412.324,31,6,37
37,I,416.775,32,6,38
38,I,421.174,33,6,39
39,I,425.687,34,6,40
40,I,430.129,35,6,41
41,I,434.549,36,6,42
42,I,439.067,37,6,43
43,I,443.53,38,6,44
44,I,457.245,39,6,45
45,I,461.894,40,6,46
46,I,466.417,41,6,47
47,I,471.009,42,6,48
48,C,519.683,42,7,49
49,I,537.628,43,7,50
50,C,545.831,43,8,51
51,I,550.35,44,8,52
52,I,554.874,45,8,53
53,I,559.451,46,8,54
54,I,563.924,47,8,55
55,I,568.472,48,8,56
56,I,572.959,49,8,57
57,I,577.467,50,8,58
58,I,581.858,51,8,59
59,I,586.346,52,8,60
60,I,590.812,53,8,61
61,I,595.396,54,8,62
62,C,603.293,54,9,63
63,C,610.939,54,10,64
64,C,618.783,54,11,65
65,C,626.518,54,12,66
66,I,757.218,55,12,67
67,I,761.744,56,12,68
68,I,766.191,57,12,69
69,I,770.678,58,12,70
70,C,778.559,58,13,71
71,C,786.365,58,14,72
72,C,794.249,58,15,73
73,C,802.054,58,16,74
74,I,1217.665,59,16,75
75,I,1222.221,60,16,76
76,I,1226.661,61,16,77
77,I,1231.092,62,16,78
78,C,1252.823,62,17,79
79,C,1260.94,62,18,80
80,I,1265.378,63,18,81
81,I,1269.821,64,18,82
82,C,1278.073,64,19,83
83,I,1282.664,65,19,84
84,C,1290.939,65,20,85
85,C,1298.924,65,21,86
86,I,1303.463,66,21,87
87,C,1333.902,66,22,88
88,I,1472.558,67,22,89
89,I,1477.15,68,22,90
90,C,1485.209,68,23,91
91,I,1489.692,69,23,92
92,I,1494.12,70,23,93
93,I,1498.52,71,23,94
94,I,1502.987,72,23,95
95,C,1510.975,72,24,96
96,I,1515.462,73,24,97
97,I,1519.892,74,24,98
98,I,1560.38,75,24,99
99,I,1564.807,76,24,100
100,I,1569.21,77,24,101
101,I,1573.672,78,24,102
102,I,1578.185,79,24,103
103,C,1586.136,79,25,104
104,I,1590.562,80,25,105
105,I,1594.983,81,25,106
106,I,1599.425,82,25,107
107,I,1603.867,83,25,108
108,I,1608.319,84,25,109
109,I,1612.824,85,25,110
110,I,1639.674,86,25,111
111,I,1644.119,87,25,112
112,I,1648.582,88,25,113
113,I,1653.119,89,25,114
114,I,1667.013,90,25,115
115,I,1671.561,91,25,116
116,I,1676.156,92,25,117
117,I,1680.739,93,25,118
