,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
0,I,0.008,1,0,1
1,I,0.029,2,0,2
2,I,0.041,3,0,3
3,I,0.09,4,0,4
4,I,0.093,5,0,5
5,I,0.11,6,0,6
6,I,0.125,7,0,7
7,C,6.241,7,1,8
8,C,12.267,7,2,9
9,I,12.289,8,2,10
10,I,12.359,9,2,11
11,C,18.421,9,3,12
12,I,18.524,10,3,13
13,I,18.529,11,3,14
14,I,18.751,12,3,15
15,I,18.81,13,3,16
16,I,18.882,14,3,17
17,C,24.96,14,4,18
18,I,24.968,15,4,19
19,I,31.061,16,4,20
20,C,37.187,16,5,21
21,I,37.441,17,5,22
22,C,43.988,17,6,23
23,I,50.16,18,6,24
24,I,50.337,19,6,25
25,I,50.45,20,6,26
26,C,56.644,20,7,27
27,I,57.015,21,7,28
28,C,63.172,21,8,29
29,I,63.239,22,8,30
30,C,69.267,22,9,31
31,I,69.326,23,9,32
32,C,75.356,23,10,33
33,I,81.878,24,10,34
34,C,88.164,24,11,35
35,I,88.182,25,11,36
36,C,94.388,25,12,37
37,I,119.574,26,12,38
38,C,125.712,26,13,39
39,I,131.866,27,13,40
40,I,132.002,28,13,41
41,C,138.101,28,14,42
42,I,163.492,29,14,43
43,C,169.829,29,15,44
44,I,169.977,30,15,45
45,I,170.069,31,15,46
46,C,176.091,31,16,47
47,I,313.786,32,16,48
48,C,320.247,32,17,49
49,I,320.44,33,17,50
50,C,326.735,33,18,51
51,I,339.62,34,18,52
52,I,339.623,35,18,53
53,I,339.657,36,18,54
54,I,339.738,37,18,55
55,C,345.798,37,19,56
56,I,489.367,38,19,57
57,I,489.425,39,19,58
58,C,495.43,39,20,59
