,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
0,I,0.018,1,0,1
1,I,0.02,2,0,2
2,I,0.03,3,0,3
3,I,0.044,4,0,4
4,I,0.06,5,0,5
5,I,0.24,6,0,6
6,I,0.255,7,0,7
7,I,0.282,8,0,8
8,I,0.346,9,0,9
9,C,1.532,9,1,10
10,I,2.571,10,1,11
11,I,2.635,11,1,12
12,I,2.672,12,1,13
13,C,3.721,12,2,14
14,I,3.832,13,2,15
15,C,5.425,13,3,16
16,I,6.531,14,3,17
17,I,7.017,15,3,18
18,C,8.355,15,4,19
19,I,9.476,16,4,20
20,C,10.58,16,5,21
21,C,11.616,16,6,22
22,I,11.634,17,6,23
23,I,11.637,18,6,24
24,I,11.748,19,6,25
25,I,11.799,20,6,26
26,I,11.865,21,6,27
27,I,12.089,22,6,28
28,I,12.185,23,6,29
29,C,13.51,23,7,30
30,I,15.613,24,7,31
31,I,15.674,25,7,32
32,I,15.732,26,7,33
33,I,15.802,27,7,34
34,I,18.435,28,7,35
35,C,21.73,28,8,36
36,C,23.991,28,9,37
37,C,25.268,28,10,38
38,I,26.28,29,10,39
39,I,28.812,30,10,40
40,C,30.12,30,11,41
41,C,32.419,30,12,42
42,C,37.486,30,13,43
43,I,44.142,31,13,44
44,C,45.376,31,14,45
45,I,46.389,32,14,46
46,I,54.05,33,14,47
47,C,55.534,33,15,48
48,I,65.307,34,15,49
49,C,67.125,34,16,50
50,I,84.215,35,16,51
51,I,85.915,36,16,52
52,I,85.918,37,16,53
53,I,86.033,38,16,54
54,C,87.811,38,17,55
55,I,92.817,39,17,56
56,I,92.82,40,17,57
57,I,92.892,41,17,58
58,I,107.724,42,17,59
59,I,107.727,43,17,60
60,C,108.799,43,18,61
61,I,108.929,44,18,62
62,I,108.952,45,18,63
63,I,109.044,46,18,64
64,I,114.083,47,18,65
65,I,114.109,48,18,66
66,I,114.379,49,18,67
67,C,123.491,49,19,68
68,I,123.501,50,19,69
69,I,123.603,51,19,70
70,I,123.617,52,19,71
71,C,124.702,52,20,72
72,I,126.034,53,20,73
73,I,126.037,54,20,74
74,I,126.058,55,20,75
75,C,127.242,55,21,76
76,I,127.251,56,21,77
77,C,129.931,56,22,78
78,I,134.093,57,22,79
79,C,135.169,57,23,80
80,I,155.234,58,23,81
81,C,157.812,58,24,82
82,C,199.611,58,25,83
83,C,258.95,58,26,84
84,I,258.97,59,26,85
