,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
0,I,0.026,1,0,1
1,C,1.036,1,1,2
2,I,2.2,2,1,3
3,I,2.298,3,1,4
4,I,2.521,4,1,5
5,I,2.636,5,1,6
6,C,6.209,5,2,7
7,C,7.389,5,3,8
8,I,7.416,6,3,9
9,I,7.421,7,3,10
10,I,7.446,8,3,11
11,I,7.459,9,3,12
12,C,8.572,9,4,13
13,I,8.682,10,4,14
14,C,9.74,10,5,15
15,C,10.927,10,6,16
16,I,11.094,11,6,17
17,C,12.1,11,7,18
18,C,14.348,11,8,19
19,C,15.398,11,9,20
20,I,15.424,12,9,21
21,I,15.472,13,9,22
22,C,16.579,13,10,23
23,I,16.619,14,10,24
24,C,17.756,14,11,25
25,I,19.268,15,11,26
26,C,20.374,15,12,27
27,I,20.437,16,12,28
28,C,21.598,16,13,29
29,I,21.696,17,13,30
30,C,23.002,17,14,31
31,I,24.206,18,14,32
32,C,25.62,18,15,33
33,C,29.307,18,16,34
34,I,31.681,19,16,35
35,I,32.12,20,16,36
36,C,33.389,20,17,37
37,C,40.1,20,18,38
38,I,46.197,21,18,39
39,I,46.436,22,18,40
40,C,47.651,22,19,41
41,I,47.662,23,19,42
42,I,47.667,24,19,43
43,I,47.692,25,19,44
44,C,49.049,25,20,45
45,I,49.07,26,20,46
46,C,52.66,26,21,47
47,C,53.71,26,22,48
48,I,53.731,27,22,49
49,I,56.206,28,22,50
50,C,57.283,28,23,51
51,I,73.588,29,23,52
52,C,74.939,29,24,53
53,I,74.945,30,24,54
54,I,74.95,31,24,55
55,I,75.045,32,24,56
56,C,76.064,32,25,57
57,I,76.091,33,25,58
58,C,79.527,33,26,59
59,I,79.551,34,26,60
60,C,86.865,34,27,61
61,I,86.886,35,27,62
62,C,97.947,35,28,63
63,I,98.983,36,28,64
64,I,102.807,37,28,65
65,C,104.018,37,29,66
66,I,113.946,38,29,67
67,C,115.123,38,30,68
68,C,117.493,38,31,69
69,I,117.531,39,31,70
70,I,121.223,40,31,71
71,C,122.645,40,32,72
72,I,124.079,41,32,73
73,C,125.778,41,33,74
74,I,138.407,42,33,75
75,C,139.606,42,34,76
76,I,148.263,43,34,77
77,I,148.554,44,34,78
78,C,171.147,44,35,79
79,I,173.606,45,35,80
80,I,173.864,46,35,81
81,I,173.9,47,35,82
82,I,174.149,48,35,83
83,I,174.178,49,35,84
84,C,185.181,49,36,85
85,I,185.212,50,36,86
86,I,186.057,51,36,87
87,I,186.075,52,36,88
88,C,187.137,52,37,89
89,C,230.211,52,38,90
90,I,231.236,53,38,91
91,C,234.668,53,39,92
92,I,239.178,54,39,93
93,I,239.29,55,39,94
94,C,240.426,55,40,95
95,C,318.547,55,41,96
96,I,318.576,56,41,97
97,I,332.896,57,41,98
98,C,333.974,57,42,99
99,I,428.492,58,42,100
100,I,435.473,59,42,101
101,C,436.916,59,43,102
