,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
117,I,805.625,104,14,118
118,C,813.635,104,15,119
119,I,818.137,105,15,120
120,C,835.138,105,16,121
121,C,843.319,105,17,122
122,I,852.171,106,17,123
123,I,856.631,107,17,124
124,I,861.259,108,17,125
125,I,865.699,109,17,126
126,C,887.178,109,18,127
127,I,896.059,110,18,128
128,I,900.616,111,18,129
129,I,905.165,112,18,130
130,I,909.649,113,18,131
131,I,914.127,114,18,132
132,I,918.495,115,18,133
133,I,922.965,116,18,134
134,C,931.119,116,19,135
135,I,935.613,117,19,136
136,I,940.055,118,19,137
137,C,952.352,118,20,138
138,C,960.304,118,21,139
139,C,972.888,118,22,140
140,I,1111.249,119,22,141
141,I,1115.772,120,22,142
142,I,1120.226,121,22,143
143,I,1124.677,122,22,144
144,C,1132.578,122,23,145
145,I,1155.051,123,23,146
146,I,1159.538,124,23,147
147,I,1164.095,125,23,148
148,I,1168.549,126,23,149
149,I,1204.298,127,23,150
150,I,1208.742,128,23,151
151,I,1213.215,129,23,152
152,I,1217.617,130,23,153
153,I,1222.04,131,23,154
154,I,1226.455,132,23,155
155,I,1230.942,133,23,156
156,I,1235.529,134,23,157
157,I,1240.052,135,23,158
158,C,1258.015,135,24,159
159,C,1266.149,135,25,160
160,C,1274.299,135,26,161
161,C,1282.401,135,27,162
162,I,1357.277,136,27,163
163,I,1361.826,137,27,164
164,I,1366.278,138,27,165
165,I,1370.717,139,27,166
166,I,1375.143,140,27,167
167,I,1379.632,141,27,168
168,C,1387.489,141,28,169
169,I,1391.871,142,28,170
170,I,1396.496,143,28,171
171,I,1401.205,144,28,172
172,I,1405.74,145,28,173
173,I,1445.936,146,28,174
174,I,1450.428,147,28,175
175,I,1454.907,148,28,176
176,I,1459.372,149,28,177
177,C,1503.005,149,29,178
178,I,1516.312,150,29,179
179,I,1520.754,151,29,180
180,I,1525.176,152,29,181
181,I,1529.608,153,29,182
182,I,1534.034,154,29,183
183,I,1538.666,155,29,184
184,I,1552.022,156,29,185
185,I,1556.51,157,29,186
186,I,1560.997,158,29,187
187,I,1565.454,159,29,188
188,I,1578.904,160,29,189
189,I,1583.355,161,29,190
190,I,1587.802,162,29,191
191,I,1592.268,163,29,192
192,I,1610.111,164,29,193
193,I,1614.556,165,29,194
194,I,1619.007,166,29,195
195,I,1623.411,167,29,196
196,I,1627.861,168,29,197
197,I,1632.46,169,29,198
198,I,1636.963,170,29,199
199,C,1689.84,170,30,200
200,I,1698.733,171,30,201
201,I,1703.198,172,30,202
202,I,1707.659,173,30,203
203,I,1712.099,174,30,204
204,I,1865.508,175,30,205
205,I,1870.033,176,30,206
206,I,1874.581,177,30,207
207,I,1879.298,178,30,208
208,I,1906.549,179,30,209
209,I,1911.081,180,30,210
210,I,1915.606,181,30,211
211,I,1920.108,182,30,212
212,I,1924.649,183,30,213
213,I,1929.221,184,30,214
214,I,1933.71,185,30,215
215,I,1947.46,186,30,216
216,I,1952.178,187,30,217
217,I,1956.596,188,30,218
218,I,1961.094,189,30,219
219,I,1965.615,190,30,220
220,I,1970.232,191,30,221
221,I,1974.809,192,30,222
222,I,1979.431,193,30,223
223,I,1993.072,194,30,224
224,I,1997.591,195,30,225
225,I,2002.145,196,30,226
226,I,2006.776,197,30,227
227,I,2020.539,198,30,228
228,I,2025.039,199,30,229
229,I,2029.658,200,30,230
230,I,2034.23,201,30,231
231,C,2064.73,201,31,232
232,C,2117.944,201,32,233
233,C,2157.986,201,33,234
234,I,2222.165,202,33,235
235,I,2226.675,203,33,236
236,I,2231.153,204,33,237
237,I,2235.893,205,33,238
238,I,2240.47,206,33,239
239,I,2245.005,207,33,240
240,I,2281.75,208,33,241
241,C,2289.674,208,34,242
242,I,2294.234,209,34,243
243,I,2298.787,210,34,244
244,I,2303.359,211,34,245
245,C,2366.409,211,35,246
246,I,2380.299,212,35,247
247,I,2384.889,213,35,248
248,I,2389.529,214,35,249
249,I,2394.07,215,35,250
