,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
0,I,4.458,1,0,1
1,I,9.061,2,0,2
2,I,13.588,3,0,3
3,I,18.06,4,0,4
4,I,22.497,5,0,5
5,I,27.471,6,0,6
6,I,54.164,7,0,7
7,I,58.836,8,0,8
8,I,63.398,9,0,9
9,I,68.016,10,0,10
10,I,72.666,11,0,11
11,I,77.343,12,0,12
12,I,86.513,13,0,13
13,I,91.014,14,0,14
14,I,95.438,15,0,15
15,I,99.819,16,0,16
16,I,104.287,17,0,17
17,I,108.791,18,0,18
18,I,113.245,19,0,19
19,I,117.719,20,0,20
20,C,125.816,20,1,21
21,I,134.677,21,1,22
22,I,139.133,22,1,23
23,I,143.572,23,1,24
24,I,148.002,24,1,25
25,I,156.846,25,1,26
26,I,161.241,26,1,27
27,I,165.657,27,1,28
28,I,170.207,28,1,29
29,I,174.622,29,1,30
30,I,179.085,30,1,31
31,I,183.543,31,1,32
32,I,187.979,32,1,33
33,I,210.468,33,1,34
34,I,215.018,34,1,35
35,I,219.553,35,1,36
36,I,224.033,36,1,37
37,I,232.887,37,1,38
38,I,237.269,38,1,39
39,I,241.735,39,1,40
40,I,246.246,40,1,41
41,I,250.721,41,1,42
42,I,255.209,42,1,43
43,C,263.09,42,2,44
44,C,270.881,42,3,45
45,I,275.311,43,3,46
46,I,284.104,44,3,47
47,I,288.545,45,3,48
48,C,296.542,45,4,49
49,I,300.981,46,4,50
50,C,308.776,46,5,51
51,I,313.198,47,5,52
52,I,322.178,48,5,53
53,I,326.678,49,5,54
54,I,331.163,50,5,55
55,I,335.805,51,5,56
56,I,340.343,52,5,57
57,I,344.884,53,5,58
58,I,349.447,54,5,59
59,I,358.637,55,5,60
60,I,363.282,56,5,61
61,I,368.076,57,5,62
62,I,372.699,58,5,63
63,I,377.379,59,5,64
64,I,382.005,60,5,65
65,C,390.734,60,6,66
66,I,395.443,61,6,67
67,I,400.148,62,6,68
68,C,441.123,62,7,69
69,I,454.769,63,7,70
70,I,459.275,64,7,71
71,I,463.755,65,7,72
72,I,468.259,66,7,73
73,I,472.861,67,7,74
74,I,477.264,68,7,75
75,C,484.982,68,8,76
76,I,489.418,69,8,77
77,I,494.077,70,8,78
78,I,498.578,71,8,79
79,I,503.148,72,8,80
80,I,552.268,73,8,81
81,I,556.628,74,8,82
82,I,561.05,75,8,83
83,I,565.516,76,8,84
84,I,570.016,77,8,85
85,I,574.439,78,8,86
86,I,578.872,79,8,87
87,I,583.29,80,8,88
88,I,587.759,81,8,89
89,I,596.574,82,8,90
90,I,601.003,83,8,91
91,I,605.495,84,8,92
92,I,609.963,85,8,93
93,I,614.439,86,8,94
94,C,631.484,86,9,95
95,C,639.514,86,10,96
96,I,657.319,87,10,97
97,C,665.562,87,11,98
98,I,670.063,88,11,99
99,C,677.928,88,12,100
100,I,682.363,89,12,101
101,I,686.838,90,12,102
102,I,727.049,91,12,103
103,I,731.458,92,12,104
104,I,735.868,93,12,105
105,I,740.374,94,12,106
106,I,744.809,95,12,107
107,I,749.255,96,12,108
108,C,757.171,96,13,109
109,I,761.569,97,13,110
110,I,765.995,98,13,111
111,I,770.449,99,13,112
112,I,774.925,100,13,113
113,I,779.401,101,13,114
114,I,788.46,102,13,115
115,C,796.557,102,14,116
116,I,801.155,103,14,117
