,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
0,I,0.013,1,0,1
1,I,0.019,2,0,2
2,I,0.03,3,0,3
3,I,0.129,4,0,4
4,I,0.224,5,0,5
5,I,0.229,6,0,6
6,C,1.267,6,1,7
7,I,2.284,7,1,8
8,I,2.286,8,1,9
9,I,2.312,9,1,10
10,I,2.333,10,1,11
11,C,3.353,10,2,12
12,I,3.381,11,2,13
13,I,3.391,12,2,14
14,I,3.414,13,2,15
15,I,3.477,14,2,16
16,I,3.493,15,2,17
17,I,3.674,16,2,18
18,C,5.05,16,3,19
19,I,6.123,17,3,20
20,I,6.136,18,3,21
21,I,6.224,19,3,22
22,I,6.226,20,3,23
23,C,7.305,20,4,24
24,I,7.4,21,4,25
25,I,7.43,22,4,26
26,I,7.476,23,4,27
27,I,7.606,24,4,28
28,I,7.677,25,4,29
29,I,7.734,26,4,30
30,I,7.753,27,4,31
31,I,7.795,28,4,32
32,I,7.818,29,4,33
33,I,8.389,30,4,34
34,I,8.437,31,4,35
35,I,8.631,32,4,36
36,C,9.719,32,5,37
37,C,11.75,32,6,38
38,I,11.821,33,6,39
39,I,11.83,34,6,40
40,C,12.87,34,7,41
41,I,12.975,35,7,42
42,I,13.094,36,7,43
43,C,14.27,36,8,44
44,C,19.999,36,9,45
45,I,25.782,37,9,46
46,C,26.902,37,10,47
47,I,26.908,38,10,48
48,C,27.971,38,11,49
49,I,27.981,39,11,50
50,I,29.339,40,11,51
51,C,30.551,40,12,52
52,I,31.568,41,12,53
53,I,38.072,42,12,54
54,C,39.16,42,13,55
55,I,39.169,43,13,56
56,I,40.582,44,13,57
57,I,40.652,45,13,58
58,I,40.924,46,13,59
59,C,41.963,46,14,60
60,I,43.06,47,14,61
61,C,44.071,47,15,62
62,C,47.658,47,16,63
63,C,65.639,47,17,64
64,I,65.666,48,17,65
65,C,66.724,48,18,66
66,C,80.221,48,19,67
67,I,84.885,49,19,68
68,C,85.907,49,20,69
69,I,87.31,50,20,70
70,C,88.326,50,21,71
71,I,108.802,51,21,72
72,I,108.821,52,21,73
73,I,108.923,53,21,74
74,C,109.95,53,22,75
75,C,115.387,53,23,76
76,I,115.396,54,23,77
77,I,125.498,55,23,78
78,C,126.688,55,24,79
79,I,126.7,56,24,80
80,C,127.746,56,25,81
81,I,127.759,57,25,82
82,C,128.797,57,26,83
83,I,132.516,58,26,84
84,C,133.534,58,27,85
85,I,154.965,59,27,86
86,C,156.582,59,28,87
87,C,169.78,59,29,88
88,I,169.79,60,29,89
89,C,203.657,60,30,90
90,I,203.666,61,30,91
91,I,215.991,62,30,92
92,I,228.882,63,30,93
93,I,228.884,64,30,94
94,I,229.004,65,30,95
95,I,229.209,66,30,96
96,C,230.332,66,31,97
97,I,240.609,67,31,98
98,C,241.732,67,32,99
99,C,266.172,67,33,100
100,I,266.182,68,33,101
101,C,267.363,68,34,102
102,I,267.371,69,34,103
103,C,275.007,69,35,104
104,I,275.017,70,35,105
105,I,278.375,71,35,106
106,I,278.4,72,35,107
107,C,279.466,72,36,108
108,I,343.938,73,36,109
109,C,348.018,73,37,110
