,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
0,I,0.012,1,0,1
1,I,0.015,2,0,2
2,I,0.02,3,0,3
3,I,0.058,4,0,4
4,I,0.149,5,0,5
5,I,0.239,6,0,6
6,I,0.41,7,0,7
7,I,0.469,8,0,8
8,I,0.527,9,0,9
9,C,6.601,9,1,10
10,I,6.618,10,1,11
11,I,6.643,11,1,12
12,C,12.699,11,2,13
13,I,12.723,12,2,14
14,I,12.866,13,2,15
15,I,12.943,14,2,16
16,C,19.032,14,3,17
17,C,25.233,14,4,18
18,I,37.568,15,4,19
19,C,43.599,15,5,20
20,C,55.734,15,6,21
21,I,55.753,16,6,22
22,I,55.763,17,6,23
23,I,55.792,18,6,24
24,I,55.809,19,6,25
25,I,55.838,20,6,26
26,C,61.927,20,7,27
27,I,62.02,21,7,28
28,I,62.078,22,7,29
29,C,68.113,22,8,30
30,I,69.191,23,8,31
31,C,75.253,23,9,32
32,I,81.538,24,9,33
33,C,87.55,24,10,34
34,I,124.86,25,10,35
35,C,130.947,25,11,36
36,I,223.925,26,11,37
37,I,223.94,27,11,38
38,C,229.955,27,12,39
39,C,280.147,27,13,40
40,I,286.706,28,13,41
41,C,293.098,28,14,42
42,I,330.768,29,14,43
