,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
0,I,0.416,1,0,1
1,I,0.74,2,0,2
2,I,0.955,3,0,3
3,I,27.577,4,0,4
4,C,49.072,4,1,5
5,I,49.227,5,1,6
6,I,49.437,6,1,7
7,I,60.428,7,1,8
8,C,89.596,7,2,9
