,Type,Time,Cumulative_I,Cumulative_C,Cumulative_All
0,I,0.016,1,0,1
1,I,0.028,2,0,2
2,I,0.043,3,0,3
3,I,0.119,4,0,4
4,C,1.244,4,1,5
5,I,2.325,5,1,6
6,I,2.344,6,1,7
7,C,3.389,6,2,8
8,I,3.425,7,2,9
9,I,3.466,8,2,10
10,I,3.47,9,2,11
11,I,3.472,10,2,12
12,I,3.485,11,2,13
13,I,3.56,12,2,14
14,C,4.578,12,3,15
15,I,4.589,13,3,16
16,I,4.592,14,3,17
17,I,4.687,15,3,18
18,C,5.692,15,4,19
19,I,5.72,16,4,20
20,I,5.788,17,4,21
21,I,5.828,18,4,22
22,C,6.834,18,5,23
23,I,7.165,19,5,24
24,I,7.258,20,5,25
25,I,7.455,21,5,26
26,C,8.663,21,6,27
27,I,9.678,22,6,28
28,I,9.742,23,6,29
29,C,10.758,23,7,30
30,I,10.783,24,7,31
31,I,10.908,25,7,32
32,I,10.97,26,7,33
33,C,11.984,26,8,34
34,I,12.178,27,8,35
35,I,12.437,28,8,36
36,C,13.731,28,9,37
37,I,15.939,29,9,38
38,I,16.02,30,9,39
39,C,17.104,30,10,40
40,I,17.113,31,10,41
41,I,17.148,32,10,42
42,C,20.547,32,11,43
43,C,29.294,32,12,44
44,I,30.307,33,12,45
45,I,31.91,34,12,46
46,I,31.912,35,12,47
47,C,32.918,35,13,48
48,I,39.952,36,13,49
49,I,40.568,37,13,50
50,C,42.018,37,14,51
51,I,56.415,38,14,52
52,I,56.57,39,14,53
53,C,57.629,39,15,54
54,I,67.769,40,15,55
55,C,75.645,40,16,56
56,I,76.658,41,16,57
57,C,101.767,41,17,58
58,C,108.143,41,18,59
59,I,109.903,42,18,60
60,I,111.798,43,18,61
61,I,111.958,44,18,62
62,C,113.248,44,19,63
63,I,113.257,45,19,64
64,C,158.525,45,20,65
65,I,161.981,46,20,66
66,C,164.443,46,21,67
67,I,195.854,47,21,68
68,I,195.896,48,21,69
69,I,195.963,49,21,70
70,I,196.016,50,21,71
71,I,218.746,51,21,72
72,I,218.762,52,21,73
73,C,221.455,52,22,74
74,C,226.976,52,23,75
75,I,226.986,53,23,76
76,I,229.688,54,23,77
77,I,242.595,55,23,78
78,C,244.604,55,24,79
79,I,246.711,56,24,80
80,C,247.743,56,25,81
